epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2251.79,0.77299,0.77592,1.17714,0.78324,0.81667,0.842,0.62095,1.09288,1.05588,1.52493,0.00026422,0.00026422,0.00026422
87,2274.55,0.77023,0.70748,1.11676,0.74084,0.89847,0.815,0.59568,1.03903,1.07449,1.55161,0.000247716,0.000247716,0.000247716
88,2297.43,0.67211,0.54176,1.06631,0.78509,0.8452,0.79527,0.54272,1.14558,1.15696,1.65361,0.000231213,0.000231213,0.000231213
89,2320.16,0.73274,0.59288,1.12407,0.79137,0.84607,0.819,0.5716,1.13142,1.12101,1.60489,0.00021471,0.00021471,0.00021471
90,2342.68,0.78278,0.65006,1.08716,0.79489,0.84856,0.819,0.55164,1.13762,1.0759,1.58574,0.000198206,0.000198206,0.000198206
91,2365.13,0.68138,0.53027,1.07855,0.81222,0.83134,0.819,0.55115,1.10972,1.07422,1.57519,0.000181703,0.000181703,0.000181703
92,2389.35,0.55431,0.48518,1.03421,0.77324,0.89907,0.83866,0.60555,1.00036,1.04652,1.47954,0.0001652,0.0001652,0.0001652
93,2411.88,0.68256,0.60418,1.27055,0.7726,0.81667,0.85043,0.60906,0.99792,1.05761,1.4795,0.000148696,0.000148696,0.000148696
94,2434.49,0.58393,0.65982,1.07536,0.77871,0.81667,0.82732,0.58816,1.05068,1.08643,1.51791,0.000132193,0.000132193,0.000132193
95,2456.86,0.64,0.56312,1.10541,0.7452,0.88378,0.84735,0.5919,1.08962,1.12224,1.54199,0.00011569,0.00011569,0.00011569
96,2478.76,0.57335,0.47152,1.04453,0.75234,0.89002,0.84735,0.59467,1.10535,1.13564,1.56496,9.91865e-05,9.91865e-05,9.91865e-05
97,2500.66,0.53947,0.51413,1.05671,0.74331,0.88665,0.84829,0.60004,1.06032,1.11484,1.53709,8.26832e-05,8.26832e-05,8.26832e-05
98,2521.87,0.55298,0.63879,0.99844,0.7753,0.81667,0.84296,0.58767,1.07105,1.1249,1.54499,6.61799e-05,6.61799e-05,6.61799e-05
99,2543.09,0.49823,0.47803,1.00121,0.77042,0.81667,0.84201,0.58588,1.09582,1.12418,1.57463,4.96766e-05,4.96766e-05,4.96766e-05
100,2564.81,0.47926,0.43211,0.97986,0.70826,0.9,0.83987,0.57155,1.11791,1.1376,1.59331,3.31733e-05,3.31733e-05,3.31733e-05
