epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,68.7919,0.7734,1.42924,1.2396,0.78055,0.65,0.76681,0.52374,1.64006,1.35701,1.36203,2.64405e-05,2.64405e-05,2.64405e-05
35,70.688,0.89913,1.48863,1.19398,0.78426,0.65,0.76668,0.52373,1.6571,1.41104,1.37307,2.68412e-05,2.68412e-05,2.68412e-05
36,72.4363,0.78135,1.42892,1.1607,0.78426,0.65,0.76668,0.52373,1.6571,1.41104,1.37307,2.72183e-05,2.72183e-05,2.72183e-05
37,74.1806,0.91379,1.35982,1.35795,0.76966,0.65,0.73601,0.49923,1.66347,1.45235,1.38463,2.75718e-05,2.75718e-05,2.75718e-05
38,75.8901,1.00264,1.70242,1.33877,0.76966,0.65,0.73601,0.49923,1.66347,1.45235,1.38463,2.79018e-05,2.79018e-05,2.79018e-05
39,77.9705,1.00587,2.11723,1.41702,0.65604,0.68712,0.70918,0.47302,1.68856,1.54124,1.39412,2.82082e-05,2.82082e-05,2.82082e-05
40,79.6978,1.03996,1.13896,1.45009,0.65604,0.68712,0.70918,0.47302,1.68856,1.54124,1.39412,2.84911e-05,2.84911e-05,2.84911e-05
41,81.5747,0.78845,1.22744,1.15312,0.64939,0.7,0.69962,0.48197,1.68958,1.5959,1.39339,2.87504e-05,2.87504e-05,2.87504e-05
42,83.491,0.91434,1.29296,1.29821,0.64939,0.7,0.69962,0.48197,1.68958,1.5959,1.39339,2.89861e-05,2.89861e-05,2.89861e-05
43,85.5202,0.52486,2.46272,1.10706,0.56965,0.51662,0.58479,0.36817,1.70353,1.66635,1.3942,2.91983e-05,2.91983e-05,2.91983e-05
44,87.1662,0.92176,1.0601,1.27044,0.56965,0.51662,0.58479,0.36817,1.70353,1.66635,1.3942,2.93869e-05,2.93869e-05,2.93869e-05
45,89.0583,0.65358,0.89381,1.15726,0.59495,0.48333,0.52793,0.30225,1.70833,1.73654,1.3977,2.9552e-05,2.9552e-05,2.9552e-05
46,90.7404,0.94097,1.26103,1.43832,0.59495,0.48333,0.52793,0.30225,1.70833,1.73654,1.3977,2.96935e-05,2.96935e-05,2.96935e-05
47,92.6739,0.84398,0.85243,1.12211,0.58411,0.48333,0.52732,0.31113,1.72332,1.75468,1.41226,2.98114e-05,2.98114e-05,2.98114e-05
48,94.8009,0.73393,1.07133,1.13219,0.58411,0.48333,0.52732,0.31113,1.72332,1.75468,1.41226,2.99058e-05,2.99058e-05,2.99058e-05
49,99.1281,0.92376,1.15888,1.2621,0.60001,0.49809,0.52473,0.30817,1.74649,1.81869,1.42314,2.99766e-05,2.99766e-05,2.99766e-05
50,103.418,0.83631,0.91213,1.18219,0.60001,0.49809,0.52473,0.30817,1.74649,1.81869,1.42314,3.00238e-05,3.00238e-05,3.00238e-05
51,107.827,0.77721,1.05852,1.16049,0.60069,0.49827,0.52521,0.30722,1.76032,1.86042,1.42833,3.00475e-05,3.00475e-05,3.00475e-05
52,112.184,0.82834,0.89866,1.17309,0.60069,0.49827,0.52521,0.30722,1.76032,1.86042,1.42833,3.00476e-05,3.00476e-05,3.00476e-05
53,116.487,0.6578,0.78354,1.18661,0.60069,0.49827,0.52521,0.30722,1.76032,1.86042,1.42833,3.00242e-05,3.00242e-05,3.00242e-05
54,121.02,0.84084,1.1718,1.24043,0.76749,0.49999,0.5251,0.30909,1.76289,1.9069,1.4365,2.99772e-05,2.99772e-05,2.99772e-05
55,125.223,0.89697,0.7855,1.18889,0.76749,0.49999,0.5251,0.30909,1.76289,1.9069,1.4365,2.99066e-05,2.99066e-05,2.99066e-05
56,129.408,0.79857,1.03582,1.14061,0.76749,0.49999,0.5251,0.30909,1.76289,1.9069,1.4365,2.98125e-05,2.98125e-05,2.98125e-05
57,133.728,0.63253,0.85289,1.06507,0.75594,0.5,0.52571,0.30611,1.75376,1.91664,1.4254,2.96948e-05,2.96948e-05,2.96948e-05
58,137.476,0.69716,0.72329,1.14504,0.75594,0.5,0.52571,0.30611,1.75376,1.91664,1.4254,2.95535e-05,2.95535e-05,2.95535e-05
59,141.539,0.83268,0.97996,1.24076,0.75594,0.5,0.52571,0.30611,1.75376,1.91664,1.4254,2.93887e-05,2.93887e-05,2.93887e-05
60,145.834,1.01631,1.11821,1.4181,0.7555,0.5,0.51769,0.30528,1.784,1.95957,1.43934,2.92003e-05,2.92003e-05,2.92003e-05
61,150.671,0.62975,0.8029,1.09156,0.7555,0.5,0.51769,0.30528,1.784,1.95957,1.43934,2.89884e-05,2.89884e-05,2.89884e-05
62,155.189,0.66118,0.7211,1.1262,0.7555,0.5,0.51769,0.30528,1.784,1.95957,1.43934,2.87529e-05,2.87529e-05,2.87529e-05
63,160.047,1.35603,1.7001,1.77461,0.76425,0.5,0.52118,0.30304,1.75907,2.0112,1.43519,2.84938e-05,2.84938e-05,2.84938e-05
64,163.755,0.79373,0.93348,1.14728,0.76425,0.5,0.52118,0.30304,1.75907,2.0112,1.43519,2.82112e-05,2.82112e-05,2.82112e-05
65,167.669,0.86554,0.72442,1.1513,0.76425,0.5,0.52118,0.30304,1.75907,2.0112,1.43519,2.7905e-05,2.7905e-05,2.7905e-05
66,172.178,0.70324,0.68764,1.1563,0.75595,0.5,0.51892,0.30156,1.80082,2.03893,1.44921,2.75753e-05,2.75753e-05,2.75753e-05
67,176.518,0.6805,0.59721,1.04347,0.75595,0.5,0.51892,0.30156,1.80082,2.03893,1.44921,2.7222e-05,2.7222e-05,2.7222e-05
68,180.84,0.89752,1.0287,1.24459,0.75595,0.5,0.51892,0.30156,1.80082,2.03893,1.44921,2.68451e-05,2.68451e-05,2.68451e-05
69,185.921,0.73413,0.71695,1.15089,0.77085,0.5,0.51846,0.29803,1.80969,2.09339,1.4576,2.64447e-05,2.64447e-05,2.64447e-05
70,190.719,1.0803,1.25774,1.47938,0.77085,0.5,0.51846,0.29803,1.80969,2.09339,1.4576,2.60207e-05,2.60207e-05,2.60207e-05
71,194.385,0.62942,0.66893,1.02454,0.77085,0.5,0.51846,0.29803,1.80969,2.09339,1.4576,2.55731e-05,2.55731e-05,2.55731e-05
72,198.121,0.80621,0.60848,1.03915,0.69542,0.45338,0.47457,0.29763,1.81568,2.17323,1.45889,2.5102e-05,2.5102e-05,2.5102e-05
73,201.84,0.73599,0.84558,1.14016,0.69542,0.45338,0.47457,0.29763,1.81568,2.17323,1.45889,2.46073e-05,2.46073e-05,2.46073e-05
74,205.416,0.78101,0.75955,1.16171,0.69542,0.45338,0.47457,0.29763,1.81568,2.17323,1.45889,2.40891e-05,2.40891e-05,2.40891e-05
75,210.322,0.8796,0.74828,1.33439,0.69987,0.45273,0.47547,0.29212,1.86465,2.30441,1.51555,2.35472e-05,2.35472e-05,2.35472e-05
76,214.965,0.69943,0.67537,1.08246,0.69987,0.45273,0.47547,0.29212,1.86465,2.30441,1.51555,2.29819e-05,2.29819e-05,2.29819e-05
77,219.847,0.68409,0.67435,1.13191,0.69987,0.45273,0.47547,0.29212,1.86465,2.30441,1.51555,2.23929e-05,2.23929e-05,2.23929e-05
78,225.026,0.89262,1.07392,1.26263,0.89753,0.37226,0.46059,0.28547,1.88146,2.26535,1.5336,2.17805e-05,2.17805e-05,2.17805e-05
79,228.996,0.66334,0.67349,1.04753,0.89753,0.37226,0.46059,0.28547,1.88146,2.26535,1.5336,2.11444e-05,2.11444e-05,2.11444e-05
80,232.656,0.63494,0.58659,0.988,0.89753,0.37226,0.46059,0.28547,1.88146,2.26535,1.5336,2.04848e-05,2.04848e-05,2.04848e-05
81,237.529,0.69882,0.87709,1.2151,0.87492,0.38333,0.46128,0.28999,1.86758,2.253,1.52027,1.98016e-05,1.98016e-05,1.98016e-05
82,242.276,0.62561,0.50989,1.08702,0.87492,0.38333,0.46128,0.28999,1.86758,2.253,1.52027,1.90949e-05,1.90949e-05,1.90949e-05
83,246.955,0.72843,0.86989,1.13488,0.87492,0.38333,0.46128,0.28999,1.86758,2.253,1.52027,1.83646e-05,1.83646e-05,1.83646e-05
84,251.797,0.50042,0.54512,1.01343,0.89894,0.37162,0.45875,0.28502,1.86071,2.17725,1.51126,1.76107e-05,1.76107e-05,1.76107e-05
85,256.704,0.68218,0.82992,1.07367,0.89894,0.37162,0.45875,0.28502,1.86071,2.17725,1.51126,1.68333e-05,1.68333e-05,1.68333e-05
86,261.531,0.92082,0.95445,1.43153,0.89894,0.37162,0.45875,0.28502,1.86071,2.17725,1.51126,1.60323e-05,1.60323e-05,1.60323e-05
87,266.141,0.88844,0.93963,1.26172,0.89894,0.37162,0.45875,0.28502,1.86071,2.17725,1.51126,1.52077e-05,1.52077e-05,1.52077e-05
88,270.249,0.79133,0.61603,1.2429,0.90059,0.37109,0.4561,0.2848,1.87265,2.17816,1.51013,1.43596e-05,1.43596e-05,1.43596e-05
89,274.833,0.85688,0.86928,1.21172,0.90059,0.37109,0.4561,0.2848,1.87265,2.17816,1.51013,1.34879e-05,1.34879e-05,1.34879e-05
90,279.687,0.70567,0.79488,1.04945,0.90059,0.37109,0.4561,0.2848,1.87265,2.17816,1.51013,1.25927e-05,1.25927e-05,1.25927e-05
91,284.506,0.54641,0.59198,1.14169,0.90059,0.37109,0.4561,0.2848,1.87265,2.17816,1.51013,1.16739e-05,1.16739e-05,1.16739e-05
92,289.25,0.46141,0.43615,0.86802,0.79124,0.5,0.51153,0.29431,1.8597,2.27115,1.52061,1.07315e-05,1.07315e-05,1.07315e-05
93,293.66,0.64026,0.55085,1.25073,0.79124,0.5,0.51153,0.29431,1.8597,2.27115,1.52061,9.76562e-06,9.76562e-06,9.76562e-06
94,297.398,0.62196,0.49793,1.02075,0.79124,0.5,0.51153,0.29431,1.8597,2.27115,1.52061,8.77613e-06,8.77613e-06,8.77613e-06
95,299.997,0.75723,0.68029,1.26766,0.79124,0.5,0.51153,0.29431,1.8597,2.27115,1.52061,7.76308e-06,7.76308e-06,7.76308e-06
96,301.732,0.56927,0.58346,1.05182,0.79169,0.5,0.5159,0.28921,1.82904,2.28051,1.5115,6.72648e-06,6.72648e-06,6.72648e-06
97,303.49,0.47315,0.50564,0.93859,0.79169,0.5,0.5159,0.28921,1.82904,2.28051,1.5115,5.6663e-06,5.6663e-06,5.6663e-06
98,305.207,0.63144,0.55859,1.13863,0.79169,0.5,0.5159,0.28921,1.82904,2.28051,1.5115,4.58257e-06,4.58257e-06,4.58257e-06
99,306.973,0.48066,0.42199,0.89024,0.79169,0.5,0.5159,0.28921,1.82904,2.28051,1.5115,3.47528e-06,3.47528e-06,3.47528e-06
100,308.797,0.4976,0.45494,0.93625,0.78255,0.5,0.50805,0.28765,1.77065,2.22894,1.46583,2.34442e-06,2.34442e-06,2.34442e-06
